"","Make","Model","Year","Engine.Fuel.Type","Engine.HP","Engine.Cylinders","Transmission.Type","Driven_Wheels","Number.of.Doors","Market.Category","Vehicle.Size","Vehicle.Style","highway.MPG","city.mpg","Popularity","MSRP"
"2636","Chevrolet","C/K 1500 Series",1997,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",20,15,1385,2366
"2637","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Extended Cab Pickup",19,14,1385,3265
"2638","Chevrolet","C/K 1500 Series",1998,"regular unleaded",230,8,"MANUAL","four wheel drive",2,"N/A","Large","Extended Cab Pickup",17,12,1385,3676
"2639","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Extended Cab Pickup",19,14,1385,3427
"2640","Chevrolet","C/K 1500 Series",1998,"regular unleaded",230,8,"MANUAL","four wheel drive",2,"N/A","Large","Extended Cab Pickup",17,12,1385,3470
"2641","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",21,16,1385,2898
"2642","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Regular Cab Pickup",19,14,1385,2920
"2643","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",21,16,1385,2580
"2644","Chevrolet","C/K 1500 Series",1998,"regular unleaded",230,8,"MANUAL","rear wheel drive",2,"N/A","Large","Extended Cab Pickup",18,13,1385,3357
"2645","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Extended Cab Pickup",21,16,1385,2996
"2646","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Regular Cab Pickup",19,14,1385,2883
"2647","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Extended Cab Pickup",21,16,1385,3094
"2648","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",21,16,1385,2885
"2649","Chevrolet","C/K 1500 Series",1998,"regular unleaded",230,8,"MANUAL","four wheel drive",2,"N/A","Large","Extended Cab Pickup",17,12,1385,3419
"2650","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",21,16,1385,2668
"2651","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Regular Cab Pickup",19,14,1385,2789
"2652","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Regular Cab Pickup",19,14,1385,3321
"2653","Chevrolet","C/K 1500 Series",1998,"regular unleaded",230,8,"MANUAL","rear wheel drive",2,"N/A","Large","Extended Cab Pickup",18,13,1385,3342
"2654","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Regular Cab Pickup",19,14,1385,3025
"2655","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",21,16,1385,2653
"2656","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Extended Cab Pickup",21,16,1385,2740
"2657","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",21,16,1385,2639
"2658","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Regular Cab Pickup",19,14,1385,3067
"2659","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",21,16,1385,2817
"2660","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Regular Cab Pickup",19,14,1385,3350
"2661","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","four wheel drive",2,"N/A","Large","Regular Cab Pickup",19,14,1385,3282
"2662","Chevrolet","C/K 1500 Series",1998,"regular unleaded",200,6,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",21,16,1385,2430
"2663","Chevrolet","C/K 1500 Series",1999,"regular unleaded",230,8,"AUTOMATIC","rear wheel drive",3,"N/A","Large","Extended Cab Pickup",17,13,1385,3696
"2664","Chevrolet","C/K 1500 Series",1999,"regular unleaded",230,8,"AUTOMATIC","four wheel drive",3,"N/A","Large","Extended Cab Pickup",17,13,1385,4098
"2665","Chevrolet","C/K 2500 Series",1998,"regular unleaded",230,8,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",17,13,1385,2949
"2666","Chevrolet","C/K 2500 Series",1998,"regular unleaded",230,8,"MANUAL","rear wheel drive",2,"N/A","Large","Extended Cab Pickup",17,13,1385,3345
"2667","Chevrolet","C/K 2500 Series",1998,"regular unleaded",230,8,"MANUAL","rear wheel drive",2,"N/A","Large","Extended Cab Pickup",17,13,1385,3034
"2668","Chevrolet","C/K 2500 Series",1998,"regular unleaded",230,8,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",17,13,1385,2697
"2669","Chevrolet","C/K 2500 Series",1998,"regular unleaded",255,8,"MANUAL","rear wheel drive",2,"N/A","Large","Extended Cab Pickup",18,12,1385,3360
"2670","Chevrolet","C/K 2500 Series",1998,"regular unleaded",255,8,"MANUAL","rear wheel drive",2,"N/A","Large","Extended Cab Pickup",18,12,1385,3068
"2671","Chevrolet","C/K 2500 Series",1998,"regular unleaded",255,8,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",18,12,1385,3090
"2672","Chevrolet","C/K 2500 Series",1998,"regular unleaded",255,8,"MANUAL","rear wheel drive",2,"N/A","Large","Regular Cab Pickup",18,12,1385,2847
"2673","Mercedes-Benz","CL-Class",2012,"premium unleaded (required)",621,12,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Large","Coupe",18,12,617,211000
"2674","Mercedes-Benz","CL-Class",2012,"premium unleaded (required)",510,12,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Large","Coupe",18,12,617,158700
"2675","Mercedes-Benz","CL-Class",2012,"premium unleaded (required)",429,8,"AUTOMATIC","all wheel drive",2,"Luxury,High-Performance","Large","Coupe",24,15,617,114100
"2676","Mercedes-Benz","CL-Class",2012,"premium unleaded (required)",536,8,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Large","Coupe",22,15,617,151500
"2677","Mercedes-Benz","CL-Class",2013,"premium unleaded (required)",621,12,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Large","Coupe",18,12,617,213200
"2678","Mercedes-Benz","CL-Class",2013,"premium unleaded (required)",536,8,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Large","Coupe",22,15,617,153000
"2679","Mercedes-Benz","CL-Class",2013,"premium unleaded (required)",429,8,"AUTOMATIC","all wheel drive",2,"Luxury,High-Performance","Large","Coupe",24,15,617,115300
"2680","Mercedes-Benz","CL-Class",2013,"premium unleaded (required)",510,12,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Large","Coupe",18,12,617,160300
"2681","Mercedes-Benz","CL-Class",2014,"premium unleaded (required)",621,12,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Large","Coupe",18,12,617,215500
"2682","Mercedes-Benz","CL-Class",2014,"premium unleaded (required)",429,8,"AUTOMATIC","all wheel drive",2,"Luxury,High-Performance","Large","Coupe",24,15,617,116600
"2683","Mercedes-Benz","CL-Class",2014,"premium unleaded (required)",510,12,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Large","Coupe",18,12,617,162000
"2684","Mercedes-Benz","CL-Class",2014,"premium unleaded (required)",536,8,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Large","Coupe",22,15,617,154600
"2685","Mercedes-Benz","CLA-Class",2015,"premium unleaded (required)",208,4,"AUTOMATED_MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",38,26,617,31500
"2686","Mercedes-Benz","CLA-Class",2015,"premium unleaded (required)",208,4,"AUTOMATED_MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",32,24,617,33500
"2687","Mercedes-Benz","CLA-Class",2015,"premium unleaded (required)",355,4,"AUTOMATED_MANUAL","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",31,23,617,48500
"2688","Mercedes-Benz","CLA-Class",2016,"premium unleaded (required)",208,4,"AUTOMATED_MANUAL","front wheel drive",4,"Luxury","Midsize","Sedan",38,26,617,32050
"2689","Mercedes-Benz","CLA-Class",2016,"premium unleaded (required)",375,4,"AUTOMATED_MANUAL","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",31,23,617,49500
"2690","Mercedes-Benz","CLA-Class",2016,"premium unleaded (required)",208,4,"AUTOMATED_MANUAL","all wheel drive",4,"Luxury","Midsize","Sedan",33,24,617,34050
"2691","Mercedes-Benz","CLA-Class",2017,"premium unleaded (required)",208,4,"AUTOMATIC","front wheel drive",4,"Luxury","Midsize","Sedan",38,26,617,32400
"2692","Mercedes-Benz","CLA-Class",2017,"premium unleaded (required)",208,4,"AUTOMATIC","all wheel drive",4,"Luxury","Midsize","Sedan",32,23,617,34400
"2693","Mercedes-Benz","CLA-Class",2017,"premium unleaded (required)",375,4,"AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",30,23,617,49950
"2694","Acura","CL",2001,"premium unleaded (required)",225,6,"AUTOMATIC","front wheel drive",2,"Luxury","Midsize","Coupe",27,17,204,29980
"2695","Acura","CL",2001,"premium unleaded (required)",225,6,"AUTOMATIC","front wheel drive",2,"Luxury","Midsize","Coupe",27,17,204,27980
"2696","Acura","CL",2002,"premium unleaded (required)",225,6,"AUTOMATIC","front wheel drive",2,"Luxury","Midsize","Coupe",27,17,204,28030
"2697","Acura","CL",2002,"premium unleaded (required)",225,6,"AUTOMATIC","front wheel drive",2,"Luxury","Midsize","Coupe",27,17,204,30030
"2698","Acura","CL",2003,"premium unleaded (required)",260,6,"MANUAL","front wheel drive",2,"Factory Tuner,Luxury,Performance","Midsize","Coupe",26,17,204,32700
"2699","Acura","CL",2003,"premium unleaded (required)",260,6,"AUTOMATIC","front wheel drive",2,"Factory Tuner,Luxury,Performance","Midsize","Coupe",27,17,204,30550
"2700","Acura","CL",2003,"premium unleaded (required)",225,6,"AUTOMATIC","front wheel drive",2,"Luxury","Midsize","Coupe",27,17,204,30350
"2701","Acura","CL",2003,"premium unleaded (required)",225,6,"AUTOMATIC","front wheel drive",2,"Luxury","Midsize","Coupe",27,17,204,28200
"2702","Acura","CL",2003,"premium unleaded (required)",260,6,"MANUAL","front wheel drive",2,"Factory Tuner,Luxury,Performance","Midsize","Coupe",26,17,204,30550
"2703","Chevrolet","Classic",2004,"regular unleaded",140,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",31,22,1385,19505
"2704","Chevrolet","Classic",2005,"regular unleaded",140,4,"AUTOMATIC","front wheel drive",4,"N/A","Midsize","Sedan",31,22,1385,19690
"2705","Mercedes-Benz","CLK-Class",2007,"premium unleaded (required)",268,6,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",25,17,617,54200
"2706","Mercedes-Benz","CLK-Class",2007,"premium unleaded (required)",475,8,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",18,12,617,89200
"2707","Mercedes-Benz","CLK-Class",2007,"premium unleaded (required)",268,6,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",25,17,617,46200
"2708","Mercedes-Benz","CLK-Class",2007,"premium unleaded (required)",382,8,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Convertible",22,15,617,62900
"2709","Mercedes-Benz","CLK-Class",2007,"premium unleaded (required)",382,8,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",22,15,617,54900
"2710","Mercedes-Benz","CLK-Class",2008,"premium unleaded (required)",268,6,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Coupe",25,17,617,46450
"2711","Mercedes-Benz","CLK-Class",2008,"premium unleaded (required)",382,8,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Coupe",22,15,617,55150
"2712","Mercedes-Benz","CLK-Class",2008,"premium unleaded (required)",500,8,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Coupe",19,12,617,135000
"2713","Mercedes-Benz","CLK-Class",2008,"premium unleaded (required)",382,8,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Compact","Convertible",21,15,617,63200
"2714","Mercedes-Benz","CLK-Class",2008,"premium unleaded (required)",475,8,"AUTOMATIC","rear wheel drive",2,"Factory Tuner,Luxury,High-Performance","Compact","Convertible",18,12,617,89500
"2715","Mercedes-Benz","CLK-Class",2008,"premium unleaded (required)",268,6,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Compact","Convertible",25,17,617,54500
"2716","Mercedes-Benz","CLK-Class",2009,"premium unleaded (required)",268,6,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Midsize","Convertible",25,17,617,56100
"2717","Mercedes-Benz","CLK-Class",2009,"premium unleaded (required)",382,8,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Midsize","Convertible",21,15,617,64800
"2718","Mercedes-Benz","CLK-Class",2009,"premium unleaded (required)",382,8,"AUTOMATIC","rear wheel drive",2,"Luxury,High-Performance","Midsize","Coupe",22,15,617,56800
"2719","Mercedes-Benz","CLK-Class",2009,"premium unleaded (required)",268,6,"AUTOMATIC","rear wheel drive",2,"Luxury,Performance","Midsize","Coupe",25,17,617,48100
"2720","Mercedes-Benz","CLS-Class",2015,"premium unleaded (required)",402,8,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",26,17,617,73200
"2721","Mercedes-Benz","CLS-Class",2015,"premium unleaded (required)",577,8,"AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",22,16,617,106550
"2722","Mercedes-Benz","CLS-Class",2015,"premium unleaded (required)",329,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,20,617,65990
"2723","Mercedes-Benz","CLS-Class",2015,"premium unleaded (required)",329,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",28,20,617,68490
"2724","Mercedes-Benz","CLS-Class",2015,"premium unleaded (required)",402,8,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",24,17,617,75700
"2725","Mercedes-Benz","CLS-Class",2016,"premium unleaded (required)",329,6,"AUTOMATIC","rear wheel drive",4,"Luxury,Performance","Midsize","Sedan",30,20,617,66900
"2726","Mercedes-Benz","CLS-Class",2016,"premium unleaded (required)",329,6,"AUTOMATIC","all wheel drive",4,"Luxury,Performance","Midsize","Sedan",26,19,617,69400
"2727","Mercedes-Benz","CLS-Class",2016,"premium unleaded (required)",577,8,"AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",22,16,617,107800
"2728","Mercedes-Benz","CLS-Class",2016,"premium unleaded (required)",402,8,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",25,17,617,76600
"2729","Mercedes-Benz","CLS-Class",2016,"premium unleaded (required)",402,8,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",26,17,617,74100
"2730","Mercedes-Benz","CLS-Class",2017,"premium unleaded (required)",402,8,"AUTOMATIC","rear wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",26,18,617,74850
"2731","Mercedes-Benz","CLS-Class",2017,"premium unleaded (required)",402,8,"AUTOMATIC","all wheel drive",4,"Luxury,High-Performance","Midsize","Sedan",25,17,617,77350
"2732","Mercedes-Benz","CLS-Class",2017,"premium unleaded (required)",577,8,"AUTOMATIC","all wheel drive",4,"Factory Tuner,Luxury,High-Performance","Midsize","Sedan",22,16,617,108900
"2733","Chevrolet","Cobalt",2008,"regular unleaded",148,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",33,24,1385,14410
"2734","Chevrolet","Cobalt",2008,"regular unleaded",148,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",33,24,1385,15120
"2735","Chevrolet","Cobalt",2008,"premium unleaded (recommended)",260,4,"MANUAL","front wheel drive",2,"Factory Tuner,High-Performance","Compact","Coupe",30,22,1385,22335
"2736","Chevrolet","Cobalt",2008,"regular unleaded",148,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",33,24,1385,14410
"2737","Chevrolet","Cobalt",2008,"regular unleaded",173,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",32,22,1385,19695
"2738","Chevrolet","Cobalt",2008,"regular unleaded",148,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",33,24,1385,15120
"2739","Chevrolet","Cobalt",2008,"regular unleaded",173,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",32,22,1385,19695
"2740","Chevrolet","Cobalt",2009,"regular unleaded",155,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",35,25,1385,16460
"2741","Chevrolet","Cobalt",2009,"regular unleaded",155,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",35,25,1385,15660
"2742","Chevrolet","Cobalt",2009,"premium unleaded (recommended)",260,4,"MANUAL","front wheel drive",2,"Factory Tuner,High-Performance","Compact","Coupe",30,22,1385,23425
"2743","Chevrolet","Cobalt",2009,"regular unleaded",155,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",35,25,1385,15660
"2744","Chevrolet","Cobalt",2009,"premium unleaded (recommended)",260,4,"MANUAL","front wheel drive",4,"Factory Tuner,Performance","Compact","Sedan",30,22,1385,23425
"2745","Chevrolet","Cobalt",2009,"regular unleaded",155,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",37,25,1385,14990
"2746","Chevrolet","Cobalt",2009,"regular unleaded",155,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",37,25,1385,14990
"2747","Chevrolet","Cobalt",2009,"regular unleaded",155,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",35,25,1385,16460
"2748","Chevrolet","Cobalt",2010,"regular unleaded",155,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",37,25,1385,15670
"2749","Chevrolet","Cobalt",2010,"premium unleaded (recommended)",260,4,"MANUAL","front wheel drive",2,"Factory Tuner,High-Performance","Compact","Coupe",30,22,1385,24535
"2750","Chevrolet","Cobalt",2010,"regular unleaded",155,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",37,25,1385,14990
"2751","Chevrolet","Cobalt",2010,"regular unleaded",155,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",37,25,1385,16470
"2752","Chevrolet","Cobalt",2010,"regular unleaded",155,4,"MANUAL","front wheel drive",4,"N/A","Compact","Sedan",37,25,1385,14990
"2753","Chevrolet","Cobalt",2010,"regular unleaded",155,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",37,25,1385,16470
"2754","Chevrolet","Cobalt",2010,"regular unleaded",155,4,"MANUAL","front wheel drive",2,"N/A","Compact","Coupe",37,25,1385,15670
"2755","Chevrolet","Colorado",2012,"regular unleaded",300,8,"AUTOMATIC","rear wheel drive",4,"Performance","Compact","Crew Cab Pickup",20,14,1385,28340
"2756","Chevrolet","Colorado",2012,"regular unleaded",242,5,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Extended Cab Pickup",23,17,1385,29480
"2757","Chevrolet","Colorado",2012,"regular unleaded",185,4,"MANUAL","four wheel drive",4,"N/A","Compact","Extended Cab Pickup",24,18,1385,23030
"2758","Chevrolet","Colorado",2012,"regular unleaded",185,4,"MANUAL","four wheel drive",2,"N/A","Compact","Regular Cab Pickup",24,18,1385,20980
"2759","Chevrolet","Colorado",2012,"regular unleaded",242,5,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Crew Cab Pickup",21,16,1385,30320
"2760","Chevrolet","Colorado",2012,"regular unleaded",242,5,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Extended Cab Pickup",23,17,1385,26160
"2761","Chevrolet","Colorado",2012,"regular unleaded",242,5,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Crew Cab Pickup",23,17,1385,27490
"2762","Chevrolet","Colorado",2012,"regular unleaded",185,4,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Extended Cab Pickup",25,18,1385,22955
"2763","Chevrolet","Colorado",2012,"regular unleaded",185,4,"MANUAL","rear wheel drive",4,"N/A","Compact","Extended Cab Pickup",25,18,1385,19730
"2764","Chevrolet","Colorado",2012,"regular unleaded",185,4,"AUTOMATIC","four wheel drive",2,"N/A","Compact","Regular Cab Pickup",23,17,1385,24440
"2765","Chevrolet","Colorado",2012,"regular unleaded",185,4,"MANUAL","rear wheel drive",2,"N/A","Compact","Regular Cab Pickup",25,18,1385,17475
"2766","Chevrolet","Colorado",2012,"regular unleaded",185,4,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Crew Cab Pickup",25,18,1385,24285
"2767","Chevrolet","Colorado",2012,"regular unleaded",185,4,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Extended Cab Pickup",23,17,1385,26620
"2768","Chevrolet","Colorado",2012,"regular unleaded",185,4,"AUTOMATIC","rear wheel drive",2,"N/A","Compact","Regular Cab Pickup",25,18,1385,20370
"2769","Chevrolet","Colorado",2012,"regular unleaded",300,8,"AUTOMATIC","rear wheel drive",4,"Performance","Compact","Extended Cab Pickup",20,14,1385,27010
"2770","Chevrolet","Colorado",2012,"regular unleaded",242,5,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Crew Cab Pickup",21,16,1385,28460
"2771","Chevrolet","Colorado",2015,"regular unleaded",200,4,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Extended Cab Pickup",25,19,1385,29220
"2772","Chevrolet","Colorado",2015,"regular unleaded",200,4,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Crew Cab Pickup",27,20,1385,29550
"2773","Chevrolet","Colorado",2015,"regular unleaded",305,6,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Crew Cab Pickup",26,18,1385,25850
"2774","Chevrolet","Colorado",2015,"regular unleaded",305,6,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Crew Cab Pickup",26,18,1385,28630
"2775","Chevrolet","Colorado",2015,"regular unleaded",200,4,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Crew Cab Pickup",27,20,1385,27110
"2776","Chevrolet","Colorado",2015,"regular unleaded",200,4,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Crew Cab Pickup",27,20,1385,24330
"2777","Chevrolet","Colorado",2015,"regular unleaded",200,4,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Extended Cab Pickup",25,19,1385,26885
"2778","Chevrolet","Colorado",2015,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Crew Cab Pickup",24,17,1385,30005
"2779","Chevrolet","Colorado",2015,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Crew Cab Pickup",24,17,1385,34415
"2780","Chevrolet","Colorado",2015,"regular unleaded",200,4,"MANUAL","rear wheel drive",4,"N/A","Compact","Extended Cab Pickup",26,19,1385,21775
"2781","Chevrolet","Colorado",2015,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Crew Cab Pickup",24,17,1385,32085
"2782","Chevrolet","Colorado",2015,"regular unleaded",305,6,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Crew Cab Pickup",26,18,1385,30785
"2783","Chevrolet","Colorado",2015,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Crew Cab Pickup",24,17,1385,32385
"2784","Chevrolet","Colorado",2015,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Crew Cab Pickup",24,17,1385,34115
"2785","Chevrolet","Colorado",2015,"regular unleaded",200,4,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Extended Cab Pickup",27,20,1385,25170
"2786","Chevrolet","Colorado",2015,"regular unleaded",200,4,"MANUAL","rear wheel drive",4,"N/A","Compact","Extended Cab Pickup",26,19,1385,20120
"2787","Chevrolet","Colorado",2015,"regular unleaded",200,4,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Extended Cab Pickup",27,20,1385,27630
"2788","Chevrolet","Colorado",2015,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Crew Cab Pickup",24,17,1385,29705
"2789","Chevrolet","Colorado",2015,"regular unleaded",200,4,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Extended Cab Pickup",25,19,1385,31555
"2790","Chevrolet","Colorado",2016,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"Diesel","Compact","Crew Cab Pickup",24,17,1385,30665
"2791","Chevrolet","Colorado",2016,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"Diesel","Compact","Crew Cab Pickup",24,17,1385,32895
"2792","Chevrolet","Colorado",2016,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"Diesel","Compact","Crew Cab Pickup",24,17,1385,35000
"2793","Chevrolet","Colorado",2016,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"Diesel","Compact","Crew Cab Pickup",24,17,1385,30365
"2794","Chevrolet","Colorado",2016,"regular unleaded",200,4,"AUTOMATIC","rear wheel drive",4,"N/A","Compact","Extended Cab Pickup",27,20,1385,28515
"2795","Chevrolet","Colorado",2016,"regular unleaded",305,6,"AUTOMATIC","four wheel drive",4,"Diesel","Compact","Crew Cab Pickup",24,17,1385,33195
"2796","Chevrolet","Colorado",2016,"regular unleaded",200,4,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Extended Cab Pickup",25,19,1385,30030
"2797","Chevrolet","Colorado",2016,"regular unleaded",200,4,"MANUAL","rear wheel drive",4,"N/A","Compact","Extended Cab Pickup",26,19,1385,20100
"2798","Chevrolet","Colorado",2016,"regular unleaded",200,4,"AUTOMATIC","four wheel drive",4,"N/A","Compact","Extended Cab Pickup",25,19,1385,32440
"2799","Chevrolet","Colorado",2016,"regular unleaded",305,6,"AUTOMATIC","rear wheel drive",4,"Diesel","Compact","Crew Cab Pickup",26,18,1385,31670
"2800","Chevrolet","Colorado",2016,"regular unleaded",305,6,"AUTOMATIC","rear wheel drive",4,"Diesel","Compact","Crew Cab Pickup",26,18,1385,26510
"2801","Chevrolet","Colorado",2016,"regular unleaded",200,4,"AUTOMATIC","rear wheel drive",4,"Diesel","Compact","Crew Cab Pickup",27,20,1385,30435
"2802","Chevrolet","Colorado",2016,"regular unleaded",200,4,"AUTOMATIC","four wheel drive",4,"Diesel","Compact","Extended Cab Pickup",25,19,1385,27545
"2803","Chevrolet","Colorado",2016,"regular unleaded",200,4,"AUTOMATIC","rear wheel drive",4,"Diesel","Compact","Crew Cab Pickup",27,20,1385,24990
